id,name,full_name,description,html_url,stargazers_count,contributor_count,commit_count_estimate,chatbot_type,type_confidence,application_confidence,overall_confidence,application_reason,selected,final_notes
808103516,Mental-Health-Support-Chatbot,Vikranth3140/Mental-Health-Support-Chatbot,"A Mental Health Support Chatbot built using Streamlit and OpenAI's GPT-3.5-turbo model. It provides mental health support through a chat interface, offering sentiment analysis, mood tracking, and personalized coping strategies based on user input.",https://github.com/Vikranth3140/Mental-Health-Support-Chatbot,36,3,14,General,0.9375,0.85,0.89375,"User app: uses_streamlit, user_setup, user_api_config",,
910986056,web-ui,browser-use/web-ui,🖥️ Run AI Agent in your browser.,https://github.com/browser-use/web-ui,14713,30,30,General,0.8888888888888888,0.8,0.8444444444444444,"User app: uses_gradio, user_setup, user_api_config",,
894787983,100x-orchestrator,aj47/100x-orchestrator,An orchestration system for managing AI coding agents. The system uses Aider (an AI coding assistant) to handle coding tasks and provides real-time monitoring of agent outputs through a user-friendly interface.,https://github.com/aj47/100x-orchestrator,94,4,30,General,0.9,0.75,0.825,"User app: uses_flask, user_setup, user_api_config",,
720811037,gpt-assistants-api-ui,ryo-ma/gpt-assistants-api-ui,💬 OpenAI Assistants API chat UI  🛠️ It works easily by setting the ASSISTANT ID  📁 Supports file upload and file download 🏃 Supports Streaming API 🪟 Support to Azure OpenAI,https://github.com/ryo-ma/gpt-assistants-api-ui,251,7,30,General,0.6666666666666666,0.95,0.8083333333333333,"User app: openai_agent_app, uses_streamlit, user_setup",,
608478886,AI-Talks,dKosarevsky/AI-Talks,AI Talks - ChatGPT Assistant via Streamlit,https://github.com/dKosarevsky/AI-Talks,303,3,30,General,0.9285714285714286,0.65,0.7892857142857144,"User app: uses_streamlit, user_setup, user_api_config",,
698761114,openai-autogen-dev-studio,ivangabriele/openai-autogen-dev-studio,OADS: Generate games and programs using OpenAI agents. Built on top of Microsoft Autogen.,https://github.com/ivangabriele/openai-autogen-dev-studio,157,2,30,General,0.7142857142857143,0.85,0.7821428571428571,"User app: openai_agent_app, user_setup, user_api_config",,
803664190,postgres-chatbot,BlueBash/postgres-chatbot,"This Streamlit application allows users to interact with their PostgreSQL database using natural language queries. Users can type questions in natural language, which the app translates into SQL queries executed against the database. The results are then displayed in the chat interface. Powered by Google Generative AI and LangChain's SQL agent tool",https://github.com/BlueBash/postgres-chatbot,17,3,13,General,0.9230769230769231,0.6,0.7615384615384615,"User app: uses_streamlit, user_setup, ui_in_description",,
791780185,appdaemon-coversmanager,mguyard/appdaemon-coversmanager,AppDaemon App to manage your covers with Home Assistant,https://github.com/mguyard/appdaemon-coversmanager,8,2,30,General,0.8181818181818182,0.7,0.759090909090909,"User app: user_setup, user_api_config, ui_in_name",,
948997303,agent-app-aws,agno-agi/agent-app-aws,,https://github.com/agno-agi/agent-app-aws,16,3,30,General,0.75,0.75,0.75,"User app: uses_streamlit, uses_fastapi, user_setup",,
687633030,gpt-home,judahpaul16/gpt-home,ChatGPT at home! Basically a better Google Nest Hub or Amazon Alexa home assistant. Built on the Raspberry Pi using the OpenAI API.,https://github.com/judahpaul16/gpt-home,598,3,30,General,0.96,0.5,0.73,"User app: uses_fastapi, user_setup, ui_in_description",,
947339890,Ovis2-8B-,SUP3RMASS1VE/Ovis2-8B-,"This project provides a Gradio-based interface for interacting with the Ovis2-8B model. The script allows users to load the model, process image and video inputs, and generate text-based responses using a conversational chatbot.",https://github.com/SUP3RMASS1VE/Ovis2-8B-,5,2,13,General,0.95,0.5,0.725,"User app: uses_gradio, user_setup, ui_in_description",,
433991973,django-email-signals,Salaah01/django-email-signals,A Django app that allows users to dynamically send emails whenever there are some changes on some tables.,https://github.com/Salaah01/django-email-signals,21,2,30,General,0.9333333333333333,0.5,0.7166666666666667,"User app: uses_django, user_setup, ui_in_description",,
590604203,shell_gpt,TheR1D/shell_gpt,"A command-line productivity tool powered by AI large language models like GPT-4, will help you accomplish your tasks faster and more efficiently.",https://github.com/TheR1D/shell_gpt,11280,30,30,General,0.979381443298969,0.45,0.7146907216494846,"User app: user_setup, user_api_config",,
772333439,shell-gpt,find-xposed-magisk/shell-gpt,"A command-line productivity tool powered by AI large language models like GPT-4, will help you accomplish your tasks faster and more efficiently.由 GPT-4 等 AI 大型语言模型提供支持的命令行生产力工具将帮助您更快、更高效地完成任务",https://github.com/find-xposed-magisk/shell-gpt,17,30,30,General,0.979381443298969,0.45,0.7146907216494846,"User app: user_setup, user_api_config",,
487729193,automated-forensic-orchestrator-for-amazon-ec2,aws-solutions-library-samples/automated-forensic-orchestrator-for-amazon-ec2,Automated Forensics Orchestrator for Amazon EC2 and EKS is a self-service AWS Guidance implementation that enterprise customers can deploy to quickly set up and configure an automated orchestration workflow that enables their Security Operations Centre (SOC) to capture & examine forensic data from EKS & EC2 instances and attached volumes,https://github.com/aws-solutions-library-samples/automated-forensic-orchestrator-for-amazon-ec2,64,10,30,General,0.75,0.65,0.7,"User app: user_setup, user_api_config, ui_in_description",,
634570797,securday,zitterbewegung/securday,A natural language chatbot accessible using streamlit augmented with tools using langchain.,https://github.com/zitterbewegung/securday,17,2,30,General,0.8,0.6,0.7,"User app: uses_streamlit, uses_flask, user_setup",,
628130600,AI-Auto-Video-Generator,BB31420/AI-Auto-Video-Generator,"An AI-powered storytelling video generator that takes user input as a story prompt, generates a story using OpenAI's GPT-3, creates images using OpenAI's DALL-E, adds voiceover using ElevenLabs API, and combines the elements into a video.",https://github.com/BB31420/AI-Auto-Video-Generator,196,3,30,General,0.9411764705882353,0.45,0.6955882352941176,"User app: user_setup, user_api_config",,
628600874,telegramGPT,emingenc/telegramGPT,"step-by-step guide on creating your very own AI bot using Python, Telegram, and OpenAI GPT models.",https://github.com/emingenc/telegramGPT,40,2,30,General,0.9166666666666666,0.45,0.6833333333333333,"User app: user_api_config, ui_in_description",,
