rank,type,name,full_name,description,stars,confidence,reason,html_url,selected
1,General,Mental-Health-Support-Chatbot,Vikranth3140/Mental-Health-Support-Chatbot,"A Mental Health Support Chatbot built using Streamlit and OpenAI's GPT-3.5-turbo model. It provides mental health support through a chat interface, offering sentiment analysis, mood tracking, and personalized coping strategies based on user input.",36,0.894,"User app: uses_streamlit, user_setup, user_api_config",https://github.com/Vikranth3140/Mental-Health-Support-Chatbot,
2,General,web-ui,browser-use/web-ui,🖥️ Run AI Agent in your browser.,14713,0.844,"User app: uses_gradio, user_setup, user_api_config",https://github.com/browser-use/web-ui,
3,General,100x-orchestrator,aj47/100x-orchestrator,An orchestration system for managing AI coding agents. The system uses Aider (an AI coding assistant) to handle coding tasks and provides real-time monitoring of agent outputs through a user-friendly interface.,94,0.825,"User app: uses_flask, user_setup, user_api_config",https://github.com/aj47/100x-orchestrator,
4,General,gpt-assistants-api-ui,ryo-ma/gpt-assistants-api-ui,💬 OpenAI Assistants API chat UI  🛠️ It works easily by setting the ASSISTANT ID  📁 Supports file upload and file download 🏃 Supports Streaming API 🪟 Support to Azure OpenAI,251,0.808,"User app: openai_agent_app, uses_streamlit, user_setup",https://github.com/ryo-ma/gpt-assistants-api-ui,
5,General,AI-Talks,dKosarevsky/AI-Talks,AI Talks - ChatGPT Assistant via Streamlit,303,0.789,"User app: uses_streamlit, user_setup, user_api_config",https://github.com/dKosarevsky/AI-Talks,
6,General,openai-autogen-dev-studio,ivangabriele/openai-autogen-dev-studio,OADS: Generate games and programs using OpenAI agents. Built on top of Microsoft Autogen.,157,0.782,"User app: openai_agent_app, user_setup, user_api_config",https://github.com/ivangabriele/openai-autogen-dev-studio,
7,General,postgres-chatbot,BlueBash/postgres-chatbot,"This Streamlit application allows users to interact with their PostgreSQL database using natural language queries. Users can type questions in natural language, which the app translates into SQL queries executed against the database. The results are then displayed in the chat interface. Powered by Google Generative AI and LangChain's SQL agent tool",17,0.762,"User app: uses_streamlit, user_setup, ui_in_description",https://github.com/BlueBash/postgres-chatbot,
8,General,appdaemon-coversmanager,mguyard/appdaemon-coversmanager,AppDaemon App to manage your covers with Home Assistant,8,0.759,"User app: user_setup, user_api_config, ui_in_name",https://github.com/mguyard/appdaemon-coversmanager,
9,General,agent-app-aws,agno-agi/agent-app-aws,,16,0.75,"User app: uses_streamlit, uses_fastapi, user_setup",https://github.com/agno-agi/agent-app-aws,
10,General,gpt-home,judahpaul16/gpt-home,ChatGPT at home! Basically a better Google Nest Hub or Amazon Alexa home assistant. Built on the Raspberry Pi using the OpenAI API.,598,0.73,"User app: uses_fastapi, user_setup, ui_in_description",https://github.com/judahpaul16/gpt-home,
